Order,Family,Species,Voucher.Data,X1kP_Sample,Source,Note
Acorales,Acoraceae,Acorus gramineus,Chase 18000 (K),P02-02A,Angiosperms353,
Alismatales,Butomaceae,Butomus umbellatus,Chase 12016 (K),P01-05A,Angiosperms353,
Amborellales,Amborellaceae,Amborella trichopoda,Qiu 97123 (NCU),P01-04H,Angiosperms353,
Apiales,Araliaceae,Aralia cordata,RBGKew Living Collection  2004-3246,P01-06G,Angiosperms353,
Aquifoliales,Cardiopteridaceae,Gonocaryum litorale,Chase 1294 (K),P02-01B,Angiosperms353,
Arecales,Arecaceae,Nypa fruticans,Chase 34462 K,NSPR,1kp,
Asparagales,Blandfordiaceae,Blandfordia punicea,COLT 69 (K),P03-09A,Angiosperms353,
Asterales,Calyceraceae,Acicarpha tribuloides,2002_China,http://sftp.kew.org/pub/paftol/current_release/fasta/by_recovery/INSDC.ERR4180184.Acicarpha_tribuloides.a353.fasta,PAFTOL,"add. 21; PAFTOL, not on 1kp"
Asterales,Campanulaceae,Lobelia siphilitica,132742 (ALTA),IZLO,1kp,"big clade, adding one extra"
Asterales,Asteraceae,Echinops sphaerocephalus,Garnatje s.n. (BC),P02-08H,Angiosperms353,
Austrobaileyales,Trimeniaceae,Trimenia moorei,Chase 455 (K),P01-01C,Angiosperms353,
Berberidopsidales,Berberidopsidaceae,Berberidopsis beckleri,Chase 33137 (K),P01-07G,Angiosperms353,
Boraginales,Boraginaceae,Wigandia urens,RBGKew Living Collection  2003-2460,P01-07D,Angiosperms353,
Brassicales,Tovariaceae,Tovaria pendula,Pennington 17749 (K),P03-06C,Angiosperms353,
Brassicales,Brassicaceae,Arabis alpina,PPE-2012-1000-0003 (UMO),TZWR,1kp,"big clade, adding one extra"
Bruniales,Bruniaceae,Berzelia lanuginosa,Chase 34475 (K),P01-08F,Angiosperms353,
Buxales,Buxaceae,Buxus sempervirens,132722 (ALTA),IWMW,1kp,
Canellales,Winteraceae,Drimys winteri,Soltis and Miles 2843,WKSU,1kp,
Caryophyllales,Phytolaccaceae,Phytolacca americana,Soltis and Miles 2759,BKQU,1kp,add. 26
Caryophyllales,Sarcobataceae,Sarcobatus vermiculatus,,GIWN,1kp,add. 26
Caryophyllales,Nepenthaceae,Nepenthes mirabilis,RBGKew Living Collection 1981-5655,P03-05C,Angiosperms353,
Celastrales,Lepidobotryaceae,Ruptiliocarpon caracolito,Pennington 631 (K),P01-03A,Angiosperms353,
Ceratophyllales,Ceratophyllaceae,Ceratophyllum demersum,Sheahan s.n. (K),cerato_combined,Angiosperms353,
Chloranthales,Chloranthaceae,Sarcandra glabra,T. Chen et. al. 081210-04,OSHQ,1kp,
Commelinales,Haemodoraceae,Anigozanthos bicolor,Smith 239 (K),P01-09E,Angiosperms353,
Cornales,Cornaceae,Cornus florida,Soltis and Miles 2781,BFJL,1kp,
Cornales,Hydrangeaceae,Hydrangea quercifolia,Soltis and Miles 2854,ZETY,1kp,add. 25; Cornaceae already sampled
Crossosomatales,Staphyleaceae,Staphylea trifolia,JLM2013-66 (GA),PTLU,1kp,"add. 29; No Turpinia (preferably), Staphylea  chosen"
Crossosomatales,Crossosomataceae,Crossosoma californicum,Beier s.n. (UPS),P02-01D,Angiosperms353,
Cucurbitales,Cucurbitaceae,Thladiantha villosula,Chase 34473 K,AXAF,1kp,
Cupressales,Cupressaceae,Cupressus dupreziana,JLM2013-33 (GA),QNGJ,1kp,
Cycadales,Stangeriaceae,Stangeria eriopus,Montgomery Botanical Center (#3),KAWQ,1kp,
Dilleniales,Dilleniaceae,Curatella americana,Chase 973 (K),P03-01B,Angiosperms353,
Dioscoreales,Dioscoreaceae,Dioscorea calcicola,Wilkin 814 (K),P03-02A,Angiosperms353,
Dipsacales,Caprifoliaceae,Lonicera japonica,Soltis and Miles 2929,GSZA,1kp,
Ericales,Cyrillaceae,Cyrilla racemiflora,Chase 2531 (K),P01-03C,Angiosperms353,
Escalloniales,Escalloniaceae,Forgesia racemosa,REU 10015 (REU),P03-03D,Angiosperms353,
Fabales,Polygalaceae,Polygala lutea,JLM2013-59 (GA),OHAE,1kp,add. 28
Fabales,Fabaceae,Gilbertiodendron ecoukense,M'Boungou 144 (K),P03-10G,Angiosperms353,
Fagales,Myricaceae,Comptonia peregrina,Chase 14586 (K),P02-01G,Angiosperms353,
Fagales,Nothofagaceae,Nothofagus obliqua,Chase 33143 ,TJLC,1kp,
Garryales,Garryaceae,Aucuba japonica,DWS NY 994/96,GIPR,1kp,
Gentianales,Rubiaceae,Morinda citrifolia,Chase 34483 K,ULGV,1kp,"add. 23; represent Luculia, Mitchella? No exact genus sampled"
Gentianales,Rubiaceae,Galium boreale,132732 (ALTA),WQRD,1kp,"add. 23; represent Luculia, Mitchella? No exact genus sampled"
Gentianales,Gelsemiaceae,Pteleocarpa malaccensis,FRI 52109 (K),P03-09E,Angiosperms353,
Geraniales,Geraniaceae,Geranium carolinianum,Soltis and Miles 2919,VKGP,1kp,
Ginkgoales,Ginkgoaceae,Ginkgo biloba,in preparation,SGTW,1kp,
Gnetales,Gnetaceae,Gnetum montanum,in preparation,GTHK,1kp,
Gunnerales,Gunneraceae,Gunnera manicata,Lewis 2282008 (K),gunnera_combined,Angiosperms353,
Huerteales,Gerrardinaceae,Gerrardina foliosa,MPU 21 (NBG),P03-03G,Angiosperms353,
Lamiales,Bignoniaceae,Tabebuia umbellata,Soltis and Miles 2926,UTQR,1kp,"add. 24; reprsent Catalpa, Campsis, no eact genus taxa sampled"
Lamiales,Acanthaceae,Ruellia brittoniana,Soltis and Miles 2962,AYIY,1kp,"add. 24; reprsent Catalpa, Campsis, no eact genus taxa sampled"
Lamiales,Lamiaceae,Teucrium chamaedrys,Grant Godden GGT3,LRRR,1kp,
Laurales,Lauraceae,Lindera benzoin,Soltis & Miles 2968,KAYP,1kp,
